month_yyyy_mm,total_doses,pos_monthly,pct_Others,pct_S10_Anxiety_stress_depression_other_psychiatric_illnesses,pct_S11_Back_Problems,pct_S12_Other_musculoskeletal_problems,pct_S13_Cold_Cough_Flu_Influenza,pct_S15_Chest_respiratory_problems,pct_S17_Benign_and_malignant_tumours_cancers,pct_S25_Gastrointestinal_problems,pct_S26_Genitourinary_gynaecological_disorders,pct_S27_Infectious_diseases,pct_S28_Injury_fracture,pct_S98_Other_known_causes_not_elsewhere_classified,pct_S99_Unknown_causes_Not_specified
2019-04,0,NA,14.12700286154118,24.664789535667644,5.429231206243592,10.3513617543221,6.695963418278171,3.298465361594627,3.2540000182069733,8.642915453591362,3.8037690486531113,0.5481905663996356,6.0443933630714355,8.007827766080597,5.132089646349576
2019-05,0,NA,14.552141141704357,25.72073083145362,5.472894870560472,10.628625913219937,5.0513165442853705,2.9669152313896494,3.222174967888966,8.660940246146794,3.9061147815689647,0.5451957685702079,6.212574961274378,7.970679083470403,5.089695658466876
2019-06,0,NA,14.73169332696677,26.284838970601676,5.536174304377669,10.63993239406472,4.526219963257711,2.7228251277842754,3.254316343227822,8.656783754278607,3.9550012516415323,0.5836852298541215,6.083365155688316,7.958555847371948,5.066608330884838
2019-07,0,NA,14.661162420927644,27.138943582011656,5.614420127451778,10.941394165308834,3.41411144215593,2.457098471032077,3.1778532878560846,8.784377573403932,3.9224899620634157,0.5899887345327262,6.257615922653624,7.980173828531193,5.0603704820711055
2019-08,0,NA,14.311085776757828,27.68777958991444,5.90837554598272,11.187696227906454,2.9872669160115244,2.2799339019269063,3.2829779140984257,8.446167412666862,3.9744661408205517,0.6517320285732114,6.4931942034707815,7.85791218493915,4.931412156931144
2019-09,0,NA,14.341015499503126,26.51442806109178,5.8727433903810535,10.73195261553545,5.438072754015854,2.5945520884526707,3.1237526912344324,8.440065052659602,3.840437460838249,0.6099265650789624,6.2323757199963925,7.671956276507387,4.58872182470504
2019-10,0,NA,13.869709459723415,25.144084345592244,5.287364608405732,10.036221960021892,9.42214244137648,3.2022442535873203,2.9216269186488333,8.367092365406451,3.571358021268003,0.6097676603377369,5.602205624326255,7.356979882423172,4.609202458882458
2019-11,0,NA,13.587201865816533,25.154020047427395,5.182653522564361,9.943054556239215,9.822056811889247,3.532615069496931,2.854893769815407,8.874216171316965,3.586525245499339,0.5801918665597477,5.270686597574943,7.169486843620408,4.4423976321795084
2019-12,0,NA,12.629521089197715,25.26280903412076,4.765910854136433,9.676862682480046,11.60658093803387,3.7678800883378494,2.8386905591510496,8.749116224617525,3.447429049106074,0.5383228840940049,5.315652154089316,6.9136482477776315,4.487576194857726
2020-01,0,NA,13.347804413971467,24.329685464927977,4.933467166464387,9.494175953343301,12.280922494378508,4.3829825020847695,2.7736372012086443,8.132546211783106,3.2898916057349554,0.5317661297091903,5.317644013562593,6.804563759955536,4.38091308287557
2020-02,0,0.388181818181818,13.876598698075076,25.58132184215277,5.160996758872007,9.847976660066486,9.976982072675153,3.708136140084643,2.8764341430825953,8.023798384576143,3.462849258821299,0.5819778467422005,5.518950553512697,7.052163849994825,4.33181379134411
2020-03,0,14.1490322580645,11.34564728676704,21.289053583593155,3.845898610652391,7.369809492342005,14.006215034755506,10.224296015588756,2.4238592538599066,5.556186884554934,2.6995433759823837,7.560171285780429,4.239143518939268,6.05686268308521,3.3833129740990104
2020-04,0,30.6066666666667,9.726828975332134,20.90169013962505,3.2233028915769584,5.495630480806096,14.355535865115627,14.812367294051956,1.979671709353668,3.4997007546580465,1.7095145006331605,14.034317904875406,3.076159927897119,4.5445955323447835,2.640684023730001
2020-05,0,5.24548387096774,11.84574996023429,28.337806746453438,4.474881406730652,6.91488411447061,8.264018553219216,9.698856728185927,2.297344179390729,4.7537347071080305,2.0666062113095367,9.20772626747641,3.986860098919294,5.141455474803374,3.010075551698498
2020-06,0,2.09633333333333,13.643319413728998,31.82857299153708,5.382089330946577,8.041591464889668,4.784175587177463,5.963476243086309,2.6046261236128756,6.435895981320143,2.484172405934325,4.835513002240718,5.109522482493072,5.654323012746201,3.2327219602865727
2020-07,0,0.985806451612903,14.424410868554677,32.416598659350804,5.806925646661823,8.729501786820478,3.2190581557525557,4.203110224279656,2.788305124881172,7.434973514222115,2.9235366458790555,3.0242557718815926,5.583051077409464,5.995413962301016,3.450858562005596
2020-08,0,0.950967741935484,14.686716211655522,31.77394554700968,5.944462325119041,9.422926794987335,2.9203287326011713,3.447628694376794,3.142486479733458,7.48992903996116,3.193616436269848,2.2682960679215,5.930807462001431,6.364036481256985,3.414819727106084
2020-09,0,2.23866666666667,14.263866885800992,28.60442310620114,5.448521428493679,9.259496768205748,6.458642188839094,4.253410057057756,3.048939209402223,7.078512939182471,3.2537713111853916,2.9937218993854433,5.7687399450706085,6.244875681799005,3.323078579376451
