month_yyyy_mm,total_rate_100k,total_doses,pos_monthly,rate_100k_Acute,rate_100k_Ambulance,rate_100k_Clinical_Commissioning_Group,rate_100k_Commissioning_Support_Unit,rate_100k_Community_Provider_Trust,rate_100k_Mental_Health,rate_100k_Others,rate_100k_Integrated_Care_Board
2019-01,4795.912355355631,0,NA,3285.493535683674,222.3567786179612,54.14296201606706,8.386329195486779,300.54065460905116,893.8141252927842,31.177969940606168,0
2019-02,4534.880692527352,0,NA,3116.1560702611378,211.3328151942007,49.54433154143676,8.680640365137451,277.91699653873326,842.2496078939075,29.00023073279815,0
2019-03,4095.593261506167,0,NA,2809.3344020904187,202.2353710620641,44.760996337897325,8.195428792305863,240.6057367216516,763.3170559323974,27.144270569432148,0
2019-04,4076.6876158098808,0,NA,2803.5418031356658,201.8033481002708,47.68397356896588,7.8257106229571844,232.2320847560697,755.9842819578515,27.61641366809943,0
2019-05,4029.0333254591674,0,NA,2757.877803092292,202.95494117836083,45.4778341382038,7.884122209914177,233.8130737906524,754.3380080777159,26.687542972027817,0
2019-06,4134.973436929292,0,NA,2826.3508208531825,202.27561209466842,48.289054724607496,8.352296347764275,242.00543755668355,779.9197239991418,27.780491353243203,0
2019-07,4253.781201721039,0,NA,2911.0422476816934,210.87917197393332,48.615244996119806,8.415420756968752,245.9309414622867,800.8797134538389,28.01846139619734,0
2019-08,4160.6618951947185,0,NA,2838.0699165405485,213.65495400901148,47.225922646090744,8.395029340772473,230.0060819567477,796.1342733851285,27.175717316419227,0
2019-09,4274.292351147488,0,NA,2942.52377562866,210.24285983420177,51.28089404596451,9.208180202387059,242.90492394505978,789.087310975958,29.044406515257318,0
2019-10,4598.501142176953,0,NA,3155.1547756924406,220.8114055127005,54.863705670332934,9.248176058006326,277.8419022109518,851.5673611121882,29.013815920333798,0
2019-11,4720.968768265662,0,NA,3243.149648599546,228.42910695962422,55.87957774968973,9.8918032025921665,284.69397526499506,868.5474871136156,30.377169375600197,0
2019-12,4810.718972977433,0,NA,3269.5490317187136,250.59960656788698,54.33489858954682,17.22441667147863,297.0448501108683,870.2557218512607,51.71044746767777,0
2020-01,4768.010656439177,0,NA,3247.7586075584595,240.7310467394649,54.7680435065502,16.276328418019027,296.1626873591885,861.1695569566076,51.14438590088746,0
2020-02,4477.506962318774,0,0.388181818181818,3042.4848610336476,224.6473986554789,36.776569919662265,15.62931849041254,273.1960401542752,835.27941518351,49.493358881787536,0
2020-03,5303.013124444961,0,14.1490322580645,3718.361004503261,257.8879940838459,51.58876171521367,14.379869910990827,303.09574514230053,899.5670455224581,58.13270356689181,0
2020-04,6090.659698424525,0,30.6066666666667,4472.368477174981,285.7649466169111,36.977880890545215,11.092261065026248,313.5615578330585,924.9028129152281,45.991761928774125,0
2020-05,4722.731846109214,0,5.24548387096774,3458.7495793464395,199.2840735617777,28.399797018664003,10.642675221969611,234.33802477649343,749.9302541683169,41.38744201555224,0
2020-06,4038.348373775968,0,2.09633333333333,2903.6334616124846,174.25091106660653,27.05750418949663,9.92775135490993,200.68629562449658,680.7645021185027,42.02794780947098,0
2020-07,3884.767882531169,0,0.985806451612903,2763.136836399846,176.96769617927072,26.929282127034934,9.796133148351313,194.3452138630514,670.5185340419241,43.07418677169094,0
2020-08,3899.6000683384386,0,0.950967741935484,2762.941882909302,195.76777940582147,27.527128274323978,7.906247107142755,190.77358171125823,673.2252296165468,41.45821931404379,0
2020-09,4190.139873178977,0,2.23866666666667,2949.9363174311716,214.70352209585613,30.85631120365366,9.556180115729276,216.6207718702741,721.5690446186238,46.897725843668404,0
2020-10,4520.498785808254,0,7.37548387096774,3178.104517433209,230.15736614098412,34.62236038365116,10.611310269297805,228.3289555152039,786.0839752690458,52.59030079686285,0
2020-11,4916.8870895711,0,8.48666666666667,3479.779371872741,245.39953851542955,38.33125089019227,12.496824365992605,247.7147139097313,837.5744136411038,55.59097637590905,0
2020-12,5089.071811521543,74000,9.72258064516129,3660.893029853602,271.22742285691504,35.33158057481923,11.92443797558265,258.0441582900422,799.3890012294045,52.26218074117717,0
2021-01,5748.547382057713,814948,14.1532258064516,4086.89771281517,352.72792573593637,38.21537378323589,13.514322670655371,288.35679395884944,907.5545725207147,61.28068057315151,0
2021-02,4647.024395022031,278734,5.90142857142857,3290.3398700623065,261.1607973191543,32.94723019138203,12.389782415349522,232.7334825890098,764.9797510857957,52.47348135903402,0
2021-03,3987.12709304007,479521,2.30612903225806,2815.313765311998,224.58250512389162,27.80872494284841,11.667816116075032,200.1765071270675,659.4985682609213,48.0792061572683,0
2021-04,4062.7564850581048,542523,1.097,2845.843930553006,235.6371630686484,31.507714678354102,10.606276660825884,206.64630887760083,685.9268790770693,46.58821214260046,0
2021-05,4335.4812583028215,276786,0.824516129032258,3025.9993319527703,246.04140634969207,35.57356585381749,11.35364823503499,221.60097151109753,741.6275412169766,53.284793183432555,0
2021-06,4628.37551830649,112085,2.904,3238.6481674477886,260.51635014474084,35.352162971270445,11.758266945412865,230.89512269819411,793.5771584176084,57.62828968147529,0
2021-07,5070.874075555317,47982,8.66387096774194,3536.8291227602404,288.78623473439603,40.2831343935995,12.941659791502062,256.279855851252,872.1098411257825,63.64422689854453,0
2021-08,5143.124874789919,31501,8.02806451612903,3587.826522810334,304.2363871781142,40.94111737869975,12.61271912938698,257.168021340326,877.8970218811593,62.44308507189859,0
2021-09,5380.629446906405,372996,6.86166666666667,3756.9763448817203,304.7271284625257,45.8691157320742,13.89002576491343,274.693229144566,916.6842693619637,67.7893335586408,0
2021-10,5661.205198795305,425508,8.65483870967742,3970.3277216619585,306.7589640185247,47.682301192436796,16.56883882521029,284.92783199092696,949.8770660034862,85.06247510276138,0
2021-11,5593.5761367089035,185325,9.17733333333333,3897.258131795942,303.0528960705538,49.27514896609388,16.744270197958336,283.69787362891293,955.9311024521871,87.61671359725436,0
